A,B,C,D,E
Z,6.0,P,0.6793732829565033,O
,88.0,P,-1.148794035158656,N
X,19.0,Q,0.6663125009092119,O
Z,80.0,R,0.4625912928539512,N
,40.0,Q,-1.7258067287905967,O
,92.0,R,-0.6775646523356551,M
X,97.0,R,1.1941094030473725,N
,59.0,R,-0.9811655311396816,N
Z,,,-0.46440426230938764,M
X,48.0,R,0.4620608932518965,O
Z,41.0,R,0.7833905092825955,N
X,,R,-0.2515388860444957,N
,45.0,Q,-0.5975101946916416,O
Z,89.0,P,1.4223698616985077,M
X,53.0,P,1.7388996637975789,O
Y,42.0,Q,0.9788580507817954,O
Z,63.0,Q,,O
Z,27.0,Q,-0.8082657216409264,N
,38.0,Q,-0.8304444065565653,M
X,60.0,R,0.5225141052657575,M
X,7.0,P,0.4183982208886837,O
Y,,R,1.4015985929464294,N
X,45.0,P,0.6504500925361392,O
Z,58.0,P,,N
,31.0,Q,1.0519476177229186,N
X,23.0,R,-0.9980606273144129,N
X,42.0,Q,-0.3839712719523516,N
Z,10.0,R,0.2502002062516945,M
Y,32.0,P,1.9956674897839644,N
X,53.0,Q,3.109918556005361,N
X,30.0,Q,0.6067230591361827,O
Z,39.0,P,-0.18319661872038787,O
X,,P,0.5345056484805503,M
,82.0,,0.8876554258738361,O
,2.0,Q,-0.3206676255571917,N
X,78.0,R,1.7952113559123222,O
Z,77.0,,0.23007075919140207,M
X,93.0,,0.49774308909139425,O
X,12.0,,0.6659242520544614,O
X,39.0,Q,0.4215866106144557,M
,66.0,P,0.8389405004696122,M
,96.0,,-0.6172531865469232,N
,13.0,Q,-0.5583017539460305,O
X,46.0,Q,,N
X,27.0,P,0.4395012306202264,O
Y,,P,0.7789365035121141,O
X,,R,0.4577728661518858,N
,98.0,Q,1.6744924333475373,O
X,60.0,R,-0.005596018829046555,O
Z,,Q,0.6687416555925126,O
X,88.0,R,-1.0917008761393143,M
X,,P,-0.387099702474401,N
Y,70.0,Q,0.6955377575657775,M
X,83.0,,0.849102110743144,N
X,30.0,P,-0.29396694766418224,N
Y,,P,-0.07159925185806683,O
Z,74.0,,-1.5178737466808094,N
Z,96.0,Q,,M
Y,98.0,Q,0.8903831635197862,M
,63.0,P,0.5752050161065663,M
Y,28.0,Q,0.5006657213812097,N
Y,60.0,Q,0.04977368718096008,M
Y,79.0,Q,0.007063158628176452,N
Z,,P,,M
Z,37.0,R,0.6988284202025348,M
,93.0,Q,0.4209729443893898,N
X,22.0,P,0.49201884799279927,M
Y,68.0,P,-0.5260348426675804,O
X,20.0,R,-2.1533429198712444,N
,96.0,Q,1.0971527117536957,N
Y,68.0,Q,-0.47883745600840416,N
Z,91.0,R,-0.8627757640431206,O
X,64.0,R,0.6934789119139937,N
X,17.0,P,-0.3920126399191296,M
Z,12.0,P,,M
,22.0,R,0.6170059495766975,M
Z,17.0,Q,0.6835693232004776,N
,10.0,,,M
X,65.0,P,1.2119439853864005,N
X,,Q,0.26125053123385605,M
Y,90.0,P,-0.36927713924620315,O
Y,,Q,0.14338846734225108,O
Z,50.0,Q,-1.77623523289832,O
Z,14.0,,0.40865281148067084,O
Z,64.0,R,-1.0293715081820716,N
Y,47.0,,-1.3526702858435344,M
Y,,R,-1.5223591862178911,O
Y,76.0,Q,1.1126883749899252,N
,36.0,Q,-0.6292633936927887,O
Y,99.0,R,1.5337277099164992,O
,52.0,P,-0.5358014630522978,N
,76.0,Q,-1.7073579575929467,N
,7.0,P,-1.1165244399486591,M
Z,29.0,P,1.2358116200069387,M
Z,11.0,Q,,O
Z,33.0,Q,-0.5482872964906009,O
,,P,0.1600182258527877,M
X,79.0,P,0.501782736167545,M
Y,32.0,R,1.1173988159024608,N
X,51.0,R,1.4484992298929262,M
Z,75.0,Q,-0.35976864578908574,M
,58.0,,-1.3260476860820383,O
Z,87.0,R,-0.413465161123276,M
Y,26.0,R,0.26028050658288615,O
Z,98.0,R,-0.9637589262106109,M
X,46.0,P,-0.9571509148950429,N
X,98.0,,0.34378788154988543,M
X,29.0,,-0.04865235157045115,M
Y,4.0,P,,M
X,81.0,,-0.7584953347000695,O
Y,99.0,P,-0.23040071420576733,N
X,13.0,R,-0.9242331442683044,M
X,39.0,R,0.8901984111247868,O
Y,15.0,Q,1.0352493347237526,N
Y,29.0,R,-1.8461878622380938,O
,29.0,R,-0.92951086019241,O
Y,75.0,P,-1.496529255090079,N
X,32.0,,,M
Y,2.0,R,-0.08343796979036086,O
Z,47.0,,-1.44964521969853,O
Z,78.0,P,-0.9218598131253132,M
Z,84.0,P,,M
Z,22.0,R,0.20726732939894396,N
Z,75.0,Q,0.06934433703625043,N
X,27.0,Q,-0.7217375533372533,N
Z,67.0,P,0.17682087213939798,M
Z,,,-0.5466800845872654,O
Z,56.0,R,,O
Z,92.0,P,1.673452090298537,N
Y,93.0,R,1.340461051790348,M
X,,Q,-1.2995812369275976,O
Z,47.0,Q,0.8297324178791745,N
Z,80.0,,,O
Z,,P,-1.1482632887526183,O
,84.0,Q,0.8187776437548606,M
Y,6.0,P,1.5379319184125528,M
X,19.0,Q,-1.1225448062444139,O
Y,57.0,R,-0.9175028210142636,N
,,,1.0176614668435024,M
Z,3.0,R,0.271495310825648,O
X,1.0,Q,0.5514762752395233,M
X,58.0,P,0.3405892164004968,M
,38.0,P,0.39069592092814415,M
Y,15.0,P,-1.326472128311083,O
X,34.0,Q,1.0473177066214483,N
Y,61.0,Q,,N
X,35.0,Q,-0.22939074406802776,N
Y,64.0,Q,-0.04347694981386243,M
,25.0,Q,-1.5311075025557221,O
X,24.0,P,0.5142547560178349,M
X,,Q,0.5720574417141441,N
Y,18.0,Q,-0.062191016999311004,N
Y,15.0,P,1.1243533598705027,O
Y,80.0,Q,-0.3340772309799405,M
X,27.0,P,0.5646059258936003,N
,72.0,P,-1.0196643386921156,O
,60.0,,-0.02355215087423812,M
X,46.0,,,M
,89.0,R,0.22530792204094158,N
X,17.0,R,-0.3695269288333586,N
Y,93.0,Q,-0.1314725956716678,M
X,53.0,,0.8260471714415063,M
Z,8.0,P,-0.43676423723821745,N
X,79.0,Q,,M
Y,27.0,R,1.7495839042054206,N
Z,,P,1.3814540786904865,M
Y,50.0,Q,-1.2922626951056186,N
Z,71.0,Q,0.6897078052451944,O
Z,3.0,R,-0.5029747705513431,N
X,93.0,Q,,N
X,,P,,O
Y,44.0,Q,-0.234407800316322,M
X,53.0,P,,O
X,24.0,Q,-0.6905410523162594,N
Z,60.0,R,-0.9161919154812425,M
X,,P,-0.8318222082304447,O
Z,20.0,,,M
Z,46.0,Q,-0.7157599891107518,M
Z,,Q,0.6820520657126199,O
Y,25.0,P,1.4872461553359273,M
,94.0,P,-0.580053241370043,O
Y,78.0,P,0.23940450053537707,N
Z,71.0,R,0.49968511030293383,M
Y,17.0,,0.4720022709192744,N
Y,84.0,P,0.07595526791608741,N
X,9.0,Q,0.7426824183597224,M
Y,38.0,,0.4822489526806572,O
,48.0,P,-1.2376624223272978,M
Z,60.0,Q,0.8691560643892732,N
Z,63.0,R,0.8872908372667421,N
Z,86.0,Q,-0.7632861041785816,O
Z,2.0,Q,0.03793783544760203,M
Z,88.0,Q,0.6833289928110694,N
Z,72.0,Q,-0.20931381957936157,N
Y,11.0,R,,N
Z,64.0,R,2.3638724946193608,O
Z,,R,-0.7859860326349823,N
X,81.0,P,-1.3810446031537749,N
Y,72.0,R,0.30381859560487573,M
Y,,Q,0.7215625051261435,M
Y,18.0,R,-0.23086637384476896,N
,94.0,Q,,N
Z,64.0,P,-1.3386057997232488,M
,82.0,Q,0.6929186230316111,O
X,95.0,Q,-0.6058608207588934,O
Z,38.0,Q,1.7193779062072967,O
X,32.0,P,1.9925153531681183,O
Y,11.0,R,-0.7666565877833479,O
Z,45.0,,-0.5495571359085801,O
X,89.0,P,0.8595878869798019,O
X,33.0,Q,-0.3871306497895146,O
Z,41.0,R,,M
,8.0,P,0.02538842054241018,O
Y,11.0,R,-1.9196731561976563,O
Y,86.0,P,-0.01383774609423725,O
X,,Q,-0.6897277740641738,N
X,,R,-0.493122822399772,M
X,41.0,P,1.4436320034688142,M
X,17.0,R,-1.2565068942792563,M
Y,76.0,R,0.8132051867479773,O
Z,46.0,R,-0.2789629303318085,O
X,32.0,R,,N
X,79.0,,0.7903718960517113,M
,80.0,,0.34005129456889044,O
Z,54.0,,,M
,86.0,,0.9681846605328611,N
Y,92.0,P,-0.33130838318332273,N
,20.0,Q,-0.6122367345077503,N
Z,33.0,R,-1.085150526557798,M
X,,R,-0.8254105299789551,O
Z,40.0,R,2.9490944253087252,O
Y,32.0,Q,1.2446795807367868,N
X,97.0,R,-1.3510743662080213,O
X,2.0,,,N
Y,97.0,R,0.4818660617184915,M
,33.0,R,0.547264797377967,N
Y,77.0,P,0.5488838353173644,M
Z,30.0,,-0.25495579355369785,N
Z,33.0,P,,O
X,,P,0.3278795241593574,O
Y,26.0,,0.08589300629333041,N
,22.0,Q,-2.219300372747535,O
X,66.0,,-0.22979963057519381,O
X,38.0,R,,O
X,90.0,P,0.17521141890851205,M
Y,46.0,,2.98525900260341,O
X,15.0,P,0.3674816654743044,M
Y,98.0,Q,-0.3135296861723979,N
Y,44.0,Q,0.9218015019772522,O
Z,49.0,Q,0.4826878872092127,O
,75.0,P,0.4200944904518413,O
Z,61.0,Q,0.606850593215671,N
Y,67.0,P,2.0565435648295414,M
Y,6.0,R,-1.1308884353259157,M
Y,9.0,P,0.47363207681145447,O
,6.0,R,-0.9263811299815384,N
Z,73.0,,,N
X,95.0,R,-0.9186865114860944,N
